quarter,n_postings,avg_years_experience,avg_skill_count,pct_degree_required,avg_buzzword_count,credential_inflation_index
2022Q1,150,2.0533333333333332,3.1533333333333333,16.666666666666664,1.0,100.0
2022Q2,150,2.2866666666666666,3.546666666666667,14.000000000000002,1.14,102.2
2022Q3,150,2.506666666666667,3.52,20.666666666666668,1.08,103.4
2022Q4,150,2.9133333333333336,3.96,23.333333333333332,1.22,107.2
2023Q1,150,3.36,4.493333333333333,22.0,1.3666666666666667,110.5
2023Q2,150,3.62,4.98,34.66666666666667,1.4733333333333334,115.9
2023Q3,150,4.1066666666666665,5.206666666666667,30.666666666666664,1.48,116.7
2023Q4,150,4.166666666666667,5.633333333333334,36.0,1.66,120.6
2024Q1,150,4.6,6.086666666666667,42.0,1.72,124.4
2024Q2,150,4.78,6.06,39.33333333333333,1.6066666666666667,123.1
2024Q3,150,5.32,6.386666666666667,42.0,1.72,126.6
2024Q4,150,5.386666666666667,6.9,54.666666666666664,1.6933333333333334,130.3
