job_title,company_size,posted_date,year,quarter,description,years_experience_true,skill_count_true,degree_level_true
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Python, Looker, Snowflake, Airflow. None mentioned. We're looking for someone who can scrappy.",2,4,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: SQL, Git, Salesforce. None mentioned. self-starter",1,3,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,We are looking for a Data Analyst with 2+ years of experience. Required skills: SAP. Bachelor's preferred. ambiguity,2,1,Bachelor's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Airflow, Machine Learning, Spark, AWS, Statistics, Python. None mentioned. We're looking for someone who can self-starter.",4,6,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in dbt, R. None mentioned. We're looking for someone who can ownership mindset.",2,2,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Statistics, Salesforce. Bachelor's preferred. wear many hats",2,2,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 1+ years of experience. Required skills: Excel, GCP, Statistics, Azure, Python. Master's preferred. fast-paced environment",1,5,Master's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 3 years of relevant experience and is proficient in Looker, Spark. None mentioned. We're looking for someone who can scrappy.",3,2,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,We are looking for a Data Analyst with 0+ years of experience. Required skills: AWS. Bachelor's preferred. self-starter,0,1,Bachelor's preferred
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 4 years of relevant experience and is proficient in Snowflake, SQL, Statistics. None mentioned. We're looking for someone who can scrappy.",4,3,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Tableau, Statistics, Airflow. Master's preferred. We're looking for someone who can wear many hats.",2,3,Master's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"As a Data Analyst, you will work with Power BI. Minimum 2 years experience required. Bachelor's preferred. Must thrive in a wear many hats.",2,1,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: A/B Testing, SQL, Looker. None mentioned. ownership mindset",2,3,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Spark, A/B Testing, Airflow, SAP. None mentioned. We're looking for someone who can fast-paced environment.",2,4,None mentioned
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Python, Snowflake, GCP, AWS. None mentioned. We're looking for someone who can ownership mindset.",2,4,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in SQL, dbt, Tableau, Snowflake, Python. Master's preferred. We're looking for someone who can self-starter.",1,5,Master's preferred
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Spark, AWS, Salesforce, Excel, Power BI. None mentioned. We're looking for someone who can ambiguity.",2,5,None mentioned
Data Analyst,mid-size,2022-02-15,2022,2022Q1,"We are looking for a Data Analyst with 2+ years of experience. Required skills: Power BI, Machine Learning, dbt. Bachelor's preferred. ownership mindset",2,3,Bachelor's preferred
Data Analyst,startup,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 2 years of relevant experience and is proficient in Power BI, Excel, Snowflake. None mentioned. We're looking for someone who can wear many hats.",2,3,None mentioned
Data Analyst,enterprise,2022-02-15,2022,2022Q1,"Data Analyst - join our team! Ideal candidate has 1 years of relevant experience and is proficient in dbt, Salesforce, Machine Learning, SQL, Snowflake. Bachelor's preferred. We're looking for someone who can cross-functional collaboration.",1,5,Bachelor's preferred
